"Multidimensional poverty index (MPI)"
"HDI Rank","Country","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2006-2017",""
"108"," Libya","","","","","","","","","","","","","","","","","0.007","","","","","","","","0.007","a"
"161"," Madagascar","","","","","","","0.453","","","","","","","","","","","","","","","","","","0.453","a"
"171"," Malawi","","","","","","","","","","","","","","","","","","","","","0.244","","","","0.244","a"
"101"," Maldives","","","","","","","0.007","","","","","","","","","","","","","","","","","","0.007","a"
"182"," Mali","","","","","","","","","","","","","","","","","","","0.457","","","","","","0.457","a"
"159"," Mauritania","","","","","","","","","","","","","","","","","","","0.261","","","","","","0.261","a"
"74"," Mexico","","","","","","","","","","","","","","","","","","","","","0.025","a,c","","","0.025","a,c"
"112"," Moldova (Republic of)","","","","","","","","","","","","","0.004","","","","","","","","","","","","0.004","a"
"92"," Mongolia","","","","","","","","","","","","","","","0.043","","","","","","","","","","0.043","a"
"50"," Montenegro","","","","","","","","","","","","","","","0.002","a,d","","","","","","","","","0.002","a,d"
"123"," Morocco","","","","","","","","","","","0.085","a,d","","","","","","","","","","","","","0.085","a,d"
"180"," Mozambique","","","","","","","","","","","0.412","","","","","","","","","","","","","","0.412","a"
"148"," Myanmar","","","","","","","","","","","","","","","","","","","","","0.176","","","","0.176","a"
"129"," Namibia","","","","","","","","","","","","","","","0.183","","","","","","","","","","0.183","a"
"149"," Nepal","","","","","","","","","","","","","","","","","","","","","0.154","","","","0.154","a"
"124"," Nicaragua","","","","","","","","","","","","","0.074","","","","","","","","","","","","0.074","a"
"189"," Niger","","","","","","","","","","","","","0.591","","","","","","","","","","","","0.591","a"
"157"," Nigeria","","","","","","","","","","","","","","","","","","","","","","","0.294","","0.294","a"
"150"," Pakistan","","","","","","","","","","","","","","","0.228","","","","","","","","","","0.228","a"
"119"," Palestine, State of","","","","","","","","","","","","","","","","","0.004","","","","","","","","0.004","a"
"110"," Paraguay","","","","","","","","","","","","","","","","","","","","","0.019","","","","0.019","a"
"89"," Peru","","","","","","","","","","","","","0.052","","","","","","","","","","","","0.052","a"
"113"," Philippines","","","","","","","","","","","","","","","0.038","a,b,j","","","","","","","","","0.038","a,b,j"
"158"," Rwanda","","","","","","","","","","","","","","","","","","","0.266","","","","","","0.266","a"
"90"," Saint Lucia","","","","","","","","","","","","","0.007","a,c","","","","","","","","","","","0.007","a,c"
"143"," Sao Tome and Principe","","","","","","","","","","","","","","","","","0.092","","","","","","","","0.092","a"
"164"," Senegal","","","","","","","","","","","","","","","","","","","","","0.293","","","","0.293","a"
"67"," Serbia","","","","","","","","","","","","","","","","","0.001","a,d","","","","","","","0.001","a,d"
"184"," Sierra Leone","","","","","","","","","","","","","","","0.422","","","","","","","","","","0.422","a"
"n.a"," Somalia","0.518","","","","","","","","","","","","","","","","","","","","","","","","0.518","a"
"113"," South Africa","","","","","","","","","","","","","","","","","","","0.032","","","","","","0.032","a"
"187"," South Sudan","","","","","","","","","0.581","","","","","","","","","","","","","","","","0.581","a"
"167"," Sudan","","","","","","","","","","","","","","","","","0.280","","","","","","","","0.280","a"
"100"," Suriname","","","","","","","","","0.041","a,c","","","","","","","","","","","","","","","0.041","a,c"
"155"," Syrian Arab Republic","","","","","","","0.029","a,d","","","","","","","","","","","","","","","","","0.029","a,d"
"127"," Tajikistan","","","","","","","","","","","","","0.049","","","","","","","","","","","","0.049","a"
"154"," Tanzania (United Republic of)","","","","","","","","","","","","","","","","","","","","","0.275","","","","0.275","a"
"83"," Thailand","","","","","","","","","","","","","","","","","","","","","0.003","a,d","","","0.003","a,d"
"80"," The former Yugoslav Republic of Macedonia","","","","","","","","","","","0.010","a,c","","","","","","","","","","","","","0.010","a,c"
"132"," Timor-Leste","","","","","","","","","","","","","","","","","","","","","0.211","","","","0.211","a"
"165"," Togo","","","","","","","","","","","","","","","","","0.250","","","","","","","","0.250","a"
"69"," Trinidad and Tobago","","","","","","","","","","","0.002","a,d","","","","","","","","","","","","","0.002","a,d"
"95"," Tunisia","","","","","","","","","","","","","0.005","","","","","","","","","","","","0.005","a"
"108"," Turkmenistan","","","","","","","","","","","","","","","","","","","","","0.001","","","","0.001","a"
"162"," Uganda","","","","","","","","","","","","","","","","","","","","","0.279","","","","0.279","a"
"88"," Ukraine","","","","","","","","","","","","","0.001","a,b","","","","","","","","","","","0.001","a,b"
"105"," Uzbekistan","0.016","a,d","","","","","","","","","","","","","","","","","","","","","","","0.016","a,d"
"138"," Vanuatu","","","0.174","a,d","","","","","","","","","","","","","","","","","","","","","0.174","a,d"
"116"," Viet Nam","","","","","","","","","","","","","","","","","0.020","a,b","","","","","","","0.020","a,b"
"178"," Yemen","","","","","","","","","","","","","","","0.241","","","","","","","","","","0.241","a"
"144"," Zambia","","","","","","","","","","","","","","","","","0.262","","","","","","","","0.262","a"
"156"," Zimbabwe","","","","","","","","","","","","","","","","","","","0.149","","","","","","0.149","a"
"a: Not all indicators were available for all countries, so caution should be used in cross-country comparisons. Where an indicator is missing, weights of available indicators are adjusted to total 100 percent. See Technical note 5 at http://hdr.undp.org/sites/default/files/hdr2018_technical_notes.pdf for details."
"b: Missing indicator on nutrition."
"c:  Missing indicator on child mortality."
"d: Child death that occurred anytime was considered, because date of child’s death was not collected."
"e: Methodology was adjusted to account for missing nutrition and incomplete mortality indicator (date of child's death was not collected)."
"f: Missing indicator on housing."
"g: Given the information available in the data, child mortality was constructed using deaths that occurred between survey collections, i.e. between the period 2012-2014. Deaths reported by men were taken into account because there is information about date of death."
"h: Missing indicator on cooking fuel."
"i: Missing indicator on electricity."
"j: Missing indicator on school attendance."
""
